Date,Sales Order Item,Simulated Plant,Historic Plant,Sales Office,Material,Material Group,Customer,Recipient Postal Code,Recipient Country,is Contract,is Scheduling Agreement,Quantity in kg
2025-07-23,2661914807100040,28,28,68,12305,145,2370440,01558,DE,0,0,"0,929"
2025-08-21,2661967038100030,30,30,68,11996,145,2564394,28719,DE,0,0,"0,035"
2025-10-17,2662082088100050,28,28,68,12326,145,2189898,39218,DE,0,0,"0,688"
2025-10-01,2662008400100010,28,28,68,12196,145,2372874,04435,DE,0,0,"0,088"
2025-10-28,2662104680100010,28,28,68,12305,145,2162987,04916,DE,0,0,"1,04"
2024-11-25,2661443474100090,30,30,68,13509,164,2497601,06785,DE,0,0,"0,033"
2024-11-18,2661426251100010,30,30,68,16878,164,2285208,99885,DE,0,0,"0,454"
2024-11-18,2660800834100050,30,25,68,17616,164,2191625,18147,DE,0,0,"0,14"
2024-11-25,2661439503100070,30,30,68,18033,164,2543334,31137,DE,0,0,"0,071"
2024-06-14,2661074843100080,30,30,68,18253,164,2283874,09518,DE,0,0,"0,1"
2026-04-17,2662414941100020,30,30,68,18214,164,2157164,04821,DE,0,0,"0,01"
2026-04-15,2662379184100020,30,30,68,13122,164,2526947,18299,DE,0,0,"0,06"
2026-04-01,2662370400100060,30,29,68,16763,164,2119209,31137,DE,0,0,"0,058"
2025-11-06,2662111346100050,30,25,68,14541,164,2433586,18146,DE,0,0,"0,005"
2025-11-13,2662136554100030,30,28,68,13509,164,2187777,01705,DE,0,0,"0,117"
2025-11-27,2662161408100030,30,28,68,13509,164,2566408,06785,DE,0,0,"0,05"
2025-11-21,2662148188100010,30,30,68,15638,164,2561321,31139,DE,0,0,"0,005"
2025-11-26,2662130908100410,30,30,68,17003,164,2150945,28307,DE,0,0,"0,017"
2026-02-06,2662271364100040,30,30,68,17623,164,2370722,17153,DE,0,0,"0,02"
2024-08-30,2661255260100080,30,28,68,16763,164,2283874,09518,DE,0,0,"0,008"
2024-09-23,2661315646100040,30,29,68,16763,164,2176440,26723,DE,0,0,"0,004"
2024-09-02,2660800812100050,30,25,68,17616,164,2191625,18147,DE,0,0,"0,14"
2024-09-24,2661316728100030,30,30,68,15622,164,2165367,22946,DE,0,0,"0,053"
2024-09-26,2661328205100030,30,29,68,15100,164,2129494,17291,DE,0,0,"0,02"
2024-09-30,2661331682100010,30,29,68,17003,164,2521760,26817,DE,0,0,"0,01"
2024-09-13,2661287139100030,30,29,68,15100,164,2127587,18442,DE,0,0,"0,097"
2025-04-16,2661720030100040,30,30,68,16763,164,2257731,01277,DE,0,0,"0,039"
2025-04-23,2661725073100010,30,30,68,14008,164,2412056,07426,DE,0,0,"0,178"
2025-04-03,2661683191100010,30,30,68,15371,164,2151132,27570,DE,0,0,"0,012"
2025-04-07,2661695328100010,30,30,68,15852,164,2103437,34466,DE,0,0,"0,215"
2025-04-28,2661741879100040,30,30,68,13069,164,2225235,99310,DE,0,0,"0,06"
2025-04-14,2661707843100010,30,28,68,14420,164,2219464,98527,DE,0,0,"0,015"
2025-04-08,2661688785100040,30,28,68,14261,164,2223996,34123,DE,0,0,"0,021"
