date,material,material_group,material_division,plant,plant_group,sales_office,sales_office_group,historic_sales_12_free_stock_in_tons,historic_sales_12_contracts_in_tons,historic_sales_12_scheduling_agreement_in_tons,historic_sales_24_free_stock_in_tons,historic_sales_24_contracts_in_tons,historic_sales_24_scheduling_agreement_in_tons,sales_free_stock_in_tons,sales_contracts_in_tons,sales_scheduling_agreement_in_tons,historic_inventory_12_free_stock_in_tons,historic_inventory_24_free_stock_in_tons
2026-06-01,10575,147,135,28,21,68,117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-01,10575,147,135,28,21,68,117,0.0,0.0,0.0,0.0,0.0,5.975,0.0,0.0,0.0,0.0,0.0
2026-08-01,10575,147,135,28,21,68,117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-09-01,10575,147,135,28,21,68,117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-10-01,10575,147,135,28,21,68,117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-11-01,10575,147,135,28,21,68,117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-12-01,10575,147,135,28,21,68,117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-01-01,10575,147,135,28,21,68,117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-02-01,10575,147,135,28,21,68,117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-03-01,10575,147,135,28,21,68,117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-04-01,10575,147,135,28,21,68,117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-05-01,10575,147,135,28,21,68,117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-01,10575,147,135,30,25,76,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-01,10575,147,135,30,25,76,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-01,10575,147,135,30,25,76,113,0.0,0.0,0.0,1.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-09-01,10575,147,135,30,25,76,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-10-01,10575,147,135,30,25,76,113,1.04,0.0,0.0,0.0,0.0,0.0,1.04,0.0,0.0,0.0,0.0
2026-11-01,10575,147,135,30,25,76,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-12-01,10575,147,135,30,25,76,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-01-01,10575,147,135,30,25,76,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-02-01,10575,147,135,30,25,76,113,0.0,0.0,0.0,0.6497999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-03-01,10575,147,135,30,25,76,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-04-01,10575,147,135,30,25,76,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-05-01,10575,147,135,30,25,76,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-01,10578,143,135,30,25,76,113,0.0,0.0,0.0,5.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-01,10578,143,135,30,25,76,113,3.63,0.0,0.0,0.0,0.0,0.0,3.267,0.0,0.0,0.0,0.0
2026-08-01,10578,143,135,30,25,76,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-09-01,10578,143,135,30,25,76,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-10-01,10578,143,135,30,25,76,113,0.0,0.0,0.0,1.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-11-01,10578,143,135,30,25,76,113,2.66,0.0,0.0,1.035,0.0,0.0,2.6600000000000006,0.0,0.0,0.0,0.0
2026-12-01,10578,143,135,30,25,76,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-01-01,10578,143,135,30,25,76,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-02-01,10578,143,135,30,25,76,113,0.0,0.0,0.0,3.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-03-01,10578,143,135,30,25,76,113,1.31,0.0,0.0,0.0,0.0,0.0,1.3100000000000003,0.0,0.0,0.0,0.0
2027-04-01,10578,143,135,30,25,76,113,4.981,0.0,0.0,0.0,0.0,0.0,4.981,0.0,0.0,0.0,0.0
2027-05-01,10578,143,135,30,25,76,113,4.3,0.0,0.0,0.0,0.0,0.0,4.3,0.0,0.0,0.0,0.0
2026-06-01,10584,143,135,30,25,76,113,0.0,0.0,0.0,2.213,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-01,10584,143,135,30,25,76,113,0.422,0.0,0.0,0.0,0.0,0.0,0.37979999999999997,0.0,0.0,0.0,0.0
2026-08-01,10584,143,135,30,25,76,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-09-01,10584,143,135,30,25,76,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-10-01,10584,143,135,30,25,76,113,1.008,0.0,0.0,0.0,0.0,0.0,1.008,0.0,0.0,0.0,0.0
2026-11-01,10584,143,135,30,25,76,113,0.0,0.0,0.0,0.968,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-12-01,10584,143,135,30,25,76,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-01-01,10584,143,135,30,25,76,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-02-01,10584,143,135,30,25,76,113,1.11,0.0,0.0,0.0,0.0,0.0,1.1099999999999999,0.0,0.0,0.0,0.0
2027-03-01,10584,143,135,30,25,76,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-04-01,10584,143,135,30,25,76,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-05-01,10584,143,135,30,25,76,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-01,10585,143,135,30,25,76,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-01,10585,143,135,30,25,76,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-01,10585,143,135,30,25,76,113,0.0,0.0,0.0,1.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-09-01,10585,143,135,30,25,76,113,0.0,0.0,0.0,1.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-10-01,10585,143,135,30,25,76,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-11-01,10585,143,135,30,25,76,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-12-01,10585,143,135,30,25,76,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-01-01,10585,143,135,30,25,76,113,0.0,0.0,0.0,1.038,0.0,0.0,0.0,0.0,0.0,0.0,0.0
